pricePerSquareFoot,city,yearBuilt,livingAreaValue,bathrooms,bedrooms,buildingArea,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,homeType,county
179.0,Acworth,1999,0.03714416896235078,3.0,4.0,1618.0,1,0.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
122.0,Acworth,2006,0.04228650137741047,3.0,3.0,1842.0,1,2.0,1,Two,0,0,0,TOWNHOUSE,Cobb County
139.0,Acworth,1987,1939.0,2.0,3.0,1939.0,1,2.0,1,Three Or More,0,0,0,SINGLE_FAMILY,Paulding County
198.0,Acworth,2004,2025.0,3.0,3.0,2025.0,0,0.0,1,One,0,0,0,SINGLE_FAMILY,Paulding County
157.0,Acworth,1997,2228.0,3.0,4.0,2228.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
224.0,Acworth,2021,2795.0,8.0,4.0,2795.0,1,2.0,1,Two,0,0,1,SINGLE_FAMILY,Paulding County
239.0,Acworth,2006,5017.0,6.0,6.0,5017.0,1,3.0,1,Three Or More,0,0,0,SINGLE_FAMILY,Paulding County
206.0,Acworth,1990,1115.0,2.0,3.0,1115.0,1,2.0,1,One and One Half,0,0,0,SINGLE_FAMILY,Paulding County
170.0,Acworth,2005,2650.0,3.0,4.0,2650.0,1,2.0,1,Two,0,1,0,SINGLE_FAMILY,Paulding County
201.0,Acworth,2000,0.04148301193755739,3.0,4.0,0.0,1,2.0,0,Two,0,0,0,SINGLE_FAMILY,Cobb County
203.0,Acworth,1987,1358.0,2.0,3.0,1358.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Paulding County
136.0,Acworth,1992,2200.0,3.0,4.0,2200.0,1,2.0,1,Multi/Split,0,0,0,SINGLE_FAMILY,Cobb County
163.0,Acworth,2021,0.059343434343434344,3.0,4.0,2585.0,1,2.0,1,Two,0,0,1,SINGLE_FAMILY,Paulding County
150.0,Acworth,1993,2894.0,3.0,5.0,2894.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
183.0,Acworth,2018,0.047612488521579434,3.0,3.0,2074.0,1,2.0,1,Two,0,0,0,TOWNHOUSE,Paulding County
161.0,Acworth,2014,5255.0,6.0,4.0,5255.0,1,3.0,1,One,0,0,0,SINGLE_FAMILY,Paulding County
104.0,Acworth,1996,3753.0,3.0,4.0,3753.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
184.0,Acworth,2003,2338.0,4.0,5.0,2338.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Paulding County
136.0,Acworth,1992,2028.0,3.0,3.0,2028.0,1,2.0,1,Multi/Split,0,0,0,SINGLE_FAMILY,Cobb County
171.0,Acworth,2006,11396.0,10.0,8.0,11396.0,1,3.0,1,Three Or More,0,0,0,SINGLE_FAMILY,Cobb County
195.0,Acworth,1959,1104.0,1.0,2.0,1104.0,1,0.0,0,One,0,0,0,SINGLE_FAMILY,Cobb County
137.0,Acworth,2014,0.05711662075298439,3.0,4.0,2488.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
121.0,Acworth,1996,2982.0,3.0,4.0,2982.0,1,0.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
139.0,Acworth,1996,2582.0,3.0,4.0,2582.0,1,2.0,1,Two,0,1,0,SINGLE_FAMILY,Cobb County
136.0,Acworth,1999,6621.0,6.0,5.0,6621.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
161.0,Acworth,2005,0.03918732782369146,3.0,3.0,1707.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
187.0,Acworth,1986,1684.0,2.0,4.0,1684.0,1,2.0,1,One,0,1,0,SINGLE_FAMILY,Cobb County
106.0,Acworth,1990,3886.0,4.0,5.0,3886.0,1,2.0,1,Three Or More,0,1,0,SINGLE_FAMILY,Cobb County
154.0,Acworth,2019,3236.0,3.0,4.0,3236.0,0,0.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
258.0,Acworth,1985,2714.0,4.0,4.0,2714.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
108.0,Acworth,1999,3000.0,3.0,4.0,3000.0,1,2.0,1,Two,0,1,0,SINGLE_FAMILY,Cobb County
126.0,Acworth,1986,3009.0,3.0,6.0,3009.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
206.0,Acworth,2001,0.028925619834710745,3.0,3.0,1260.0,1,1.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
167.0,Acworth,1987,1496.0,2.0,3.0,1496.0,1,2.0,1,One,1,0,0,SINGLE_FAMILY,Bartow County
162.0,Acworth,2014,0.06891643709825528,3.0,5.0,3002.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
150.0,Acworth,1988,0.049035812672176306,3.0,3.0,2136.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
171.0,Acworth,2016,0.03562901744719926,3.0,3.0,1552.0,1,1.0,1,Two,0,0,0,TOWNHOUSE,Cherokee County
212.0,Acworth,1969,2122.0,2.0,3.0,2122.0,0,0.0,0,One,0,1,0,SINGLE_FAMILY,Cherokee County
137.0,Acworth,1982,2364.0,2.0,3.0,0.0,1,2.0,1,One,0,0,0,SINGLE_FAMILY,Cherokee County
139.0,Acworth,2014,0.04292929292929293,3.0,4.0,1870.0,1,0.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
131.0,Acworth,2001,2666.0,3.0,3.0,2666.0,1,2.0,1,Multi/Split,0,0,0,SINGLE_FAMILY,Bartow County
168.0,Acworth,2016,0.049908172635445364,3.0,4.0,2174.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
189.0,Acworth,2007,0.03636363636363636,4.0,4.0,1584.0,1,0.0,1,Two,0,0,0,TOWNHOUSE,Cherokee County
179.0,Acworth,1973,1616.0,2.0,3.0,1616.0,1,2.0,1,One,0,0,0,SINGLE_FAMILY,Cherokee County
127.0,Acworth,1985,2366.0,3.0,4.0,2366.0,1,2.0,1,One,0,0,0,SINGLE_FAMILY,Cobb County
149.0,Acworth,2007,4624.0,6.0,5.0,4624.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
145.0,Adairsville,2019,2280.0,3.0,4.0,2280.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Bartow County
203.0,Adairsville,2021,1600.0,2.0,3.0,1600.0,1,2.0,1,One,0,0,1,SINGLE_FAMILY,Bartow County
138.0,Adairsville,2006,2099.0,3.0,3.0,2099.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Bartow County
209.0,Adairsville,2004,1891.0,3.0,4.0,1891.0,1,3.0,1,One,0,0,0,SINGLE_FAMILY,Bartow County
184.0,Adairsville,2016,2316.0,2.0,3.0,2316.0,1,1.0,1,Two,0,0,0,SINGLE_FAMILY,Bartow County
141.0,Adairsville,2002,1280.0,2.0,3.0,1280.0,0,0.0,0,One,0,0,0,SINGLE_FAMILY,Bartow County
337.0,Adairsville,1984,2808.0,2.0,3.0,2808.0,1,2.0,1,One,0,0,0,SINGLE_FAMILY,Gordon County
120.0,Adel,2012,1454.0,2.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Cook County
147.0,Adel,2011,2581.0,3.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Cook County
142.0,Adel,2009,2042.0,3.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Cook County
151.0,Adel,1996,3815.0,4.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Cook County
148.0,Adel,2001,2866.0,2.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Cook County
96.0,Albany,1973,2188.0,3.0,4.0,0.0,1,0.0,0,0,1,0,0,SINGLE_FAMILY,Dougherty County
99.0,Albany,1976,3146.0,3.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
98.0,Albany,1991,0.04696969696969697,3.0,3.0,0.0,0,0.0,0,0,0,0,0,MULTI_FAMILY,Dougherty County
103.0,Albany,2003,0.04219467401285583,2.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
105.0,Albany,1973,2136.0,3.0,3.0,0.0,1,0.0,0,0,1,0,0,SINGLE_FAMILY,Dougherty County
103.0,Albany,1984,2029.0,3.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
112.0,Albany,2003,2034.0,2.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
105.0,Albany,1994,4061.0,5.0,5.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
126.0,Albany,2021,0.03838383838383838,2.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
106.0,Albany,1993,1789.0,2.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
107.0,Albany,1985,1721.0,2.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
96.0,Albany,1996,0.02699724517906336,2.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
105.0,Albany,1964,1667.0,2.0,3.0,0.0,0,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
106.0,Albany,1988,3598.0,4.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
103.0,Albany,1900,1895.0,2.0,4.0,0.0,0,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
115.0,Albany,1998,4109.0,4.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
101.0,Albany,2004,0.025482093663911846,2.0,2.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
96.0,Albany,1975,2874.0,3.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
96.0,Albany,1970,2026.0,2.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
106.0,Albany,1963,1692.0,2.0,2.0,0.0,1,0.0,0,0,1,0,0,SINGLE_FAMILY,Dougherty County
116.0,Albany,2006,3617.0,5.0,5.0,0.0,0,0.0,0,0,0,0,0,SINGLE_FAMILY,Lee County
93.0,Albany,1971,2355.0,2.0,3.0,0.0,1,0.0,0,0,1,0,0,SINGLE_FAMILY,Dougherty County
93.0,Albany,2019,2048.0,2.0,4.0,0.0,0,0.0,0,0,0,0,0,SINGLE_FAMILY,Mitchell County
96.0,Albany,1958,1360.0,2.0,4.0,0.0,0,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
101.0,Albany,2004,0.025482093663911846,2.0,2.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
96.0,Albany,1973,2188.0,3.0,4.0,0.0,1,0.0,0,0,1,0,0,SINGLE_FAMILY,Dougherty County
99.0,Albany,1976,3146.0,3.0,3.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
103.0,Albany,1984,2029.0,3.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
112.0,Albany,2003,2034.0,2.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
103.0,Albany,1900,1895.0,2.0,4.0,0.0,0,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
96.0,Albany,1970,2026.0,2.0,4.0,0.0,1,0.0,0,0,0,0,0,SINGLE_FAMILY,Dougherty County
152.0,Allenhurst,2021,1415.0,2.0,3.0,0.0,0,2.0,1,0,0,0,1,SINGLE_FAMILY,Liberty County
154.0,Allenhurst,2021,1415.0,2.0,3.0,0.0,0,2.0,1,0,0,0,1,SINGLE_FAMILY,Liberty County
153.0,Allenhurst,2021,1894.0,2.0,3.0,0.0,0,2.0,1,0,0,0,1,SINGLE_FAMILY,Liberty County
138.0,Alma,0,5057.0,3.0,5.0,0.0,0,0.0,0,0,0,0,0,SINGLE_FAMILY,Bacon County
240.0,Alpharetta,2017,0.08124426078971533,5.0,3.0,3539.0,1,2.0,1,Three Or More,0,0,0,TOWNHOUSE,Fulton County
301.0,Alpharetta,1981,1609.0,2.0,3.0,1609.0,1,2.0,1,One,0,0,0,SINGLE_FAMILY,Fulton County
236.0,Alpharetta,2021,0.07174012855831037,4.0,3.0,0.0,1,0.0,0,0,0,0,1,TOWNHOUSE,Fulton County
300.0,Alpharetta,1970,2660.0,2.0,3.0,2660.0,1,2.0,1,Two,1,0,0,SINGLE_FAMILY,Fulton County
176.0,Alpharetta,1999,3126.0,4.0,4.0,3126.0,1,2.0,1,Two,0,1,0,SINGLE_FAMILY,Fulton County
198.0,Alpharetta,2002,0.031634527089072544,3.0,2.0,1378.0,1,2.0,1,Three Or More,1,0,0,CONDO,Fulton County
169.0,Alpharetta,1990,2659.0,3.0,3.0,2659.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Fulton County
285.0,Alpharetta,2021,0.051147842056932964,4.0,4.0,2228.0,1,2.0,1,Three Or More,0,0,1,TOWNHOUSE,Fulton County
297.0,Alpharetta,2021,0.057736455463728194,4.0,4.0,2515.0,1,2.0,1,Three Or More,0,0,1,TOWNHOUSE,Fulton County
286.0,Alpharetta,2021,0.057736455463728194,4.0,4.0,2515.0,1,2.0,1,Three Or More,0,0,1,TOWNHOUSE,Fulton County
223.0,Alpharetta,2018,0.048943985307621674,4.0,4.0,2132.0,1,2.0,1,Three Or More,0,0,0,TOWNHOUSE,Fulton County
169.0,Alpharetta,2007,0.07488521579430671,5.0,5.0,3262.0,1,2.0,1,Three Or More,1,0,0,TOWNHOUSE,Fulton County
187.0,Alpharetta,1988,0.03427456382001837,3.0,2.0,1493.0,1,0.0,0,Two,0,0,0,TOWNHOUSE,Fulton County
268.0,Alpharetta,2014,0.047061524334251606,3.0,3.0,2050.0,1,0.0,1,Two,0,0,0,TOWNHOUSE,Fulton County
206.0,Alpharetta,2019,0.0780532598714417,4.0,4.0,3400.0,1,0.0,1,Three Or More,0,0,0,TOWNHOUSE,Fulton County
303.0,Alpharetta,1993,1816.0,3.0,3.0,1816.0,1,2.0,1,One,0,0,0,SINGLE_FAMILY,Fulton County
174.0,Alpharetta,1995,3152.0,5.0,5.0,3152.0,1,2.0,1,Two,0,1,0,SINGLE_FAMILY,Fulton County
312.0,Alpharetta,2021,0.03420569329660239,2.0,2.0,1490.0,1,1.0,1,Three Or More,1,0,1,CONDO,Fulton County
299.0,Alpharetta,2021,0.051147842056932964,3.0,3.0,2228.0,1,2.0,1,Three Or More,1,0,1,SINGLE_FAMILY,Fulton County
211.0,Alpharetta,2021,0.051101928374655645,4.0,3.0,0.0,1,0.0,0,0,0,0,1,TOWNHOUSE,Fulton County
188.0,Alpharetta,1987,0.02805325987144169,2.0,2.0,1222.0,1,0.0,0,One,1,0,0,CONDO,Fulton County
188.0,Alpharetta,1994,2716.0,3.0,4.0,0.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Forsyth County
186.0,Alpharetta,1997,0.03145087235996327,3.0,3.0,1370.0,1,0.0,0,Two,0,0,0,TOWNHOUSE,Fulton County
154.0,Alpharetta,2006,6022.0,6.0,5.0,6022.0,1,3.0,1,Three Or More,0,1,0,SINGLE_FAMILY,Fulton County
263.0,Alpharetta,2021,0.09687786960514233,5.0,5.0,0.0,1,0.0,0,0,0,0,1,SINGLE_FAMILY,Fulton County
224.0,Alpharetta,1992,0.049494949494949494,3.0,4.0,2156.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Fulton County
259.0,Alpharetta,1991,1846.0,4.0,6.0,1846.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Fulton County
156.0,Alpharetta,2002,4981.0,5.0,5.0,4981.0,1,2.0,1,Three Or More,1,1,0,SINGLE_FAMILY,Forsyth County
177.0,Alpharetta,1999,2600.0,3.0,4.0,2600.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Fulton County
176.0,Alpharetta,2000,4821.0,5.0,6.0,4821.0,1,3.0,1,Three Or More,0,0,0,SINGLE_FAMILY,Fulton County
206.0,Alpharetta,1993,2962.0,4.0,5.0,2962.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Fulton County
192.0,Alpharetta,2012,0.049724517906336085,3.0,3.0,2166.0,1,2.0,1,Two,0,0,0,TOWNHOUSE,Forsyth County
200.0,Alpharetta,1986,2145.0,4.0,3.0,2145.0,1,2.0,1,Three Or More,0,0,0,SINGLE_FAMILY,Fulton County
200.0,Alpharetta,2006,7000.0,7.0,6.0,7000.0,1,3.0,1,Three Or More,0,0,0,SINGLE_FAMILY,Fulton County
297.0,Alpharetta,2006,7400.0,7.0,5.0,7400.0,1,3.0,1,Two,1,1,0,SINGLE_FAMILY,Fulton County
180.0,Alpharetta,2021,0.05337465564738292,3.0,3.0,0.0,0,0.0,0,0,0,0,1,TOWNHOUSE,Forsyth County
176.0,Alpharetta,2006,0.03746556473829201,3.0,2.0,1632.0,1,1.0,1,Two,0,0,0,TOWNHOUSE,Forsyth County
155.0,Alpharetta,1985,0.029614325068870524,2.0,2.0,1290.0,1,0.0,0,One,0,0,0,CONDO,Fulton County
230.0,Alpharetta,2001,0.03145087235996327,3.0,3.0,1370.0,1,0.0,0,Two,0,0,0,TOWNHOUSE,Fulton County
172.0,Alpharetta,2000,7117.0,7.0,6.0,7117.0,1,3.0,1,Three Or More,0,0,0,SINGLE_FAMILY,Fulton County
177.0,Alpharetta,1986,3256.0,4.0,4.0,3256.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Fulton County
225.0,Alpharetta,1993,3066.0,5.0,6.0,3066.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Fulton County
164.0,Alpharetta,2016,0.0945821854912764,4.0,5.0,4120.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Forsyth County
178.0,Alpharetta,2013,0.08381542699724517,5.0,4.0,3651.0,1,2.0,1,Three Or More,0,1,0,SINGLE_FAMILY,Forsyth County
211.0,Alpharetta,2014,0.05991735537190083,4.0,4.0,2610.0,1,2.0,1,Three Or More,0,0,0,SINGLE_FAMILY,Forsyth County
295.0,Alpharetta,2021,0.0663682277318641,4.0,3.0,2891.0,1,2.0,1,Two,0,0,1,SINGLE_FAMILY,Forsyth County
