price,pricePerSquareFoot,city,yearBuilt,livingAreaValue,bathrooms,bedrooms,buildingArea,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,homeType,county
289000.0,179.0,Acworth,1999,0.03714416896235078,3.0,4.0,1618.0,1,0.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
225000.0,122.0,Acworth,2006,0.04228650137741047,3.0,3.0,1842.0,1,2.0,1,Two,0,0,0,TOWNHOUSE,Cobb County
270000.0,139.0,Acworth,1987,1939.0,2.0,3.0,1939.0,1,2.0,1,Three Or More,0,0,0,SINGLE_FAMILY,Paulding County
400000.0,198.0,Acworth,2004,2025.0,3.0,3.0,2025.0,0,0.0,1,One,0,0,0,SINGLE_FAMILY,Paulding County
350000.0,157.0,Acworth,1997,2228.0,3.0,4.0,2228.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
625400.0,224.0,Acworth,2021,2795.0,8.0,4.0,2795.0,1,2.0,1,Two,0,0,1,SINGLE_FAMILY,Paulding County
1200000.0,239.0,Acworth,2006,5017.0,6.0,6.0,5017.0,1,3.0,1,Three Or More,0,0,0,SINGLE_FAMILY,Paulding County
230000.0,206.0,Acworth,1990,1115.0,2.0,3.0,1115.0,1,2.0,1,One and One Half,0,0,0,SINGLE_FAMILY,Paulding County
450000.0,170.0,Acworth,2005,2650.0,3.0,4.0,2650.0,1,2.0,1,Two,0,1,0,SINGLE_FAMILY,Paulding County
362900.0,201.0,Acworth,2000,0.04148301193755739,3.0,4.0,0.0,1,2.0,0,Two,0,0,0,SINGLE_FAMILY,Cobb County
275000.0,203.0,Acworth,1987,1358.0,2.0,3.0,1358.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Paulding County
299000.0,136.0,Acworth,1992,2200.0,3.0,4.0,2200.0,1,2.0,1,Multi/Split,0,0,0,SINGLE_FAMILY,Cobb County
420900.0,163.0,Acworth,2021,0.059343434343434344,3.0,4.0,2585.0,1,2.0,1,Two,0,0,1,SINGLE_FAMILY,Paulding County
435000.0,150.0,Acworth,1993,2894.0,3.0,5.0,2894.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
380000.0,183.0,Acworth,2018,0.047612488521579434,3.0,3.0,2074.0,1,2.0,1,Two,0,0,0,TOWNHOUSE,Paulding County
845500.0,161.0,Acworth,2014,5255.0,6.0,4.0,5255.0,1,3.0,1,One,0,0,0,SINGLE_FAMILY,Paulding County
389000.0,104.0,Acworth,1996,3753.0,3.0,4.0,3753.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
431000.0,184.0,Acworth,2003,2338.0,4.0,5.0,2338.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Paulding County
275000.0,136.0,Acworth,1992,2028.0,3.0,3.0,2028.0,1,2.0,1,Multi/Split,0,0,0,SINGLE_FAMILY,Cobb County
1949000.0,171.0,Acworth,2006,11396.0,10.0,8.0,11396.0,1,3.0,1,Three Or More,0,0,0,SINGLE_FAMILY,Cobb County
215000.0,195.0,Acworth,1959,1104.0,1.0,2.0,1104.0,1,0.0,0,One,0,0,0,SINGLE_FAMILY,Cobb County
339700.0,137.0,Acworth,2014,0.05711662075298439,3.0,4.0,2488.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
360000.0,121.0,Acworth,1996,2982.0,3.0,4.0,2982.0,1,0.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
360000.0,139.0,Acworth,1996,2582.0,3.0,4.0,2582.0,1,2.0,1,Two,0,1,0,SINGLE_FAMILY,Cobb County
900000.0,136.0,Acworth,1999,6621.0,6.0,5.0,6621.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
275000.0,161.0,Acworth,2005,0.03918732782369146,3.0,3.0,1707.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
315000.0,187.0,Acworth,1986,1684.0,2.0,4.0,1684.0,1,2.0,1,One,0,1,0,SINGLE_FAMILY,Cobb County
410000.0,106.0,Acworth,1990,3886.0,4.0,5.0,3886.0,1,2.0,1,Three Or More,0,1,0,SINGLE_FAMILY,Cobb County
499900.0,154.0,Acworth,2019,3236.0,3.0,4.0,3236.0,0,0.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
699999.0,258.0,Acworth,1985,2714.0,4.0,4.0,2714.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
325000.0,108.0,Acworth,1999,3000.0,3.0,4.0,3000.0,1,2.0,1,Two,0,1,0,SINGLE_FAMILY,Cobb County
379900.0,126.0,Acworth,1986,3009.0,3.0,6.0,3009.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
259900.0,206.0,Acworth,2001,0.028925619834710745,3.0,3.0,1260.0,1,1.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
250000.0,167.0,Acworth,1987,1496.0,2.0,3.0,1496.0,1,2.0,1,One,1,0,0,SINGLE_FAMILY,Bartow County
485000.0,162.0,Acworth,2014,0.06891643709825528,3.0,5.0,3002.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
320000.0,150.0,Acworth,1988,0.049035812672176306,3.0,3.0,2136.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cobb County
265000.0,171.0,Acworth,2016,0.03562901744719926,3.0,3.0,1552.0,1,1.0,1,Two,0,0,0,TOWNHOUSE,Cherokee County
450000.0,212.0,Acworth,1969,2122.0,2.0,3.0,2122.0,0,0.0,0,One,0,1,0,SINGLE_FAMILY,Cherokee County
